campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
conviction_helpinmates_4                 Hãy xây dựng một khu phòng thăm nuôi hoàn toàn mới. Bất kể chuyện gì đã xảy ra với Morgan, tôi nghĩ chúng ta sẽ thấy lợi ích tích cực. Và anh ta không phải là tù nhân duy nhất ở đây có gia đình.
conviction_helpinmates_5                 Tôi đã thực hiện một số nghiên cứu và tôi rất kinh ngạc khi thấy nhiều tù nhân ở đây chỉ có kỹ năng toán học và đọc viết cơ bản nhất. Chúng ta cần bắt đầu khắc phục điều này.
conviction_helpinmates_6                 Hãy mở một khu phòng học mới, và bắt đầu mời các giáo viên bên ngoài vào để dạy những điều cơ bản. Nếu không có giáo dục, những tù nhân này sẽ không có hy vọng gì ngoài một cuộc đời tội lỗi.
conviction_helpinmates_7                 Và chúng ta cần phải kiểm soát tốt lượng tù nhân tràn vào. Hãy tiếp tục mở rộng sức chứa để mọi tù nhân đều có được một phòng giam chất lượng tốt.

conviction_outro1                        Tôi nghĩ chúng ta đã tạo ra sự khác biệt lớn ở đây. Chúng ta đã mang lại cho những tù nhân này một điều gì đó để phấn đấu, và một lý do để tiếp tục cố gắng.
conviction_outro2                        Bạn có thể ở lại và giúp chúng tôi đưa đợt tù nhân đầu tiên vượt qua các chương trình giáo dục và lao động mà chúng ta đã thiết lập, nếu bạn muốn.
conviction_outro3                        Nhưng tôi nghĩ chúng tôi có thể tự lo liệu từ đây. Khi bạn sẵn sàng rời đi, hãy nhấp vào ảnh polaroid trong phòng giam của Morgan.

conviction_secondvisit_1                Tôi đã hy vọng sẽ gặp anh tại một trong những buổi trị liệu của tôi.
conviction_secondvisit_2                Tôi không thể làm được. Tôi không thể ở trong cái hố này thêm một giây nào nữa.
conviction_secondvisit_3                Cứ sống qua từng ngày một đi.
conviction_secondvisit_4                Ý tôi là toàn bộ cái chốn thối nát này. Dù ở trong này. Hay ở ngoài kia. Họ không cho tôi gặp gia đình. Tôi đã trót nhúng chàm rồi thưa ông, và sự thật đó sẽ không bao giờ thay đổi đâu.
conviction_secondvisit_5                Henry, mọi chuyện sẽ ổn thôi. Tôi ở ngay bên cạnh anh.
conviction_secondvisit_6                Nực cười thật. Anh ấy cũng đã nói chính xác điều tương tự.
conviction_secondvisit_7                Ai vậy, Henry? Anh có thể kể cho tôi nghe mà.
conviction_secondvisit_8                Anh ấy đã chăm sóc cho tôi.
conviction_secondvisit_9                Kể từ khi chúng tôi còn là những đứa trẻ.
conviction_secondvisit_10                Hãy giữ bình tĩnh. Bất cứ chuyện gì xảy ra, nhóc.
conviction_secondvisit_11                Tôi ở ngay bên cạnh anh.
conviction_secondvisit_11b				Ngay bên cạnh tôi sao?
conviction_secondvisit_12                Anh ấy không còn ở đó nữa.
conviction_secondvisit_13                Tôi sẽ đưa ra một thỏa thuận với anh. Hãy đến buổi trị liệu nhóm tiếp theo của tôi và tôi sẽ xem liệu chúng ta có thể nới lỏng đặc quyền thăm nuôi của anh không.
conviction_secondvisit_14                Ông sẽ làm điều đó vì tôi sao, thưa ông?
conviction_secondvisit_15                Không phải chỉ vì anh đâu, Henry.

conviction_suicide_1 					Xin lỗi ông, tôi nghĩ ông cần phải biết. Lại có thêm một vụ tự sát nữa rồi. 
conviction_suicide_2					Có vẻ như một trong những tù nhân đã nuốt phải chất độc chuột.
conviction_suicide_3					Bác sĩ Hurst đang trên đường đến đó để xác nhận.
conviction_suicide_4					Nó không phải là thứ đẹp đẽ nhất ông từng thấy sao?
conviction_suicide_5					Tôi nghĩ có lẽ đúng là như vậy.
conviction_suicide_6					Chưa bao giờ là quá muộn để thay đổi một cuộc đời đâu, thưa ông.

objective_conviction_expandcapacity50			Tiếp nhận đợt tù nhân mới
objective_conviction_expandcapacity50_description	Bạn có thể xem sơ đồ bố trí tiềm năng cho khu phòng giam mới bằng cách vào chế độ 'Lập kế hoạch' trên thanh công cụ chính.
objective_conviction_expandcapacity_cells	 	Cung cấp phòng giam cho 40 tù nhân
objective_conviction_expandcapacity_shower		Cung cấp khu vực phòng tắm
objective_conviction_expandcapacity_yard		Cung cấp sân tù 
objective_conviction_expandcapacity_intake		Chờ đợt tiếp nhận tiếp theo đến 

objective_conviction_workprogram 				Vận hành chương trình đào tạo kỹ năng lao động
objective_conviction_unlocklabour				Cấp phép 'Lao động tù nhân' thông qua Hành chính 
objective_conviction_work_trainkitchen			(TÙY CHỌN) Đào tạo 5 tù nhân về An toàn và Vệ sinh Bếp ăn
objective_conviction_work_kitchen				Phân công tù nhân làm việc trong nhà bếp
objective_conviction_work_workshop				Xây dựng một xưởng lao động 
objective_conviction_work_trainworkshop			(TÙY CHỌN) Cho 10 tù nhân trải qua khóa Hướng dẫn An toàn xưởng
objective_conviction_work_assignworkshop		Phân công tù nhân làm việc trong xưởng lao động 
objective_conviction_work_produceplates			(TÙY CHỌN) Sản xuất 100 biển số xe
objective_conviction_work_exportszone			Chỉ định một khu xuất hàng gần con đường
objective_conviction_work_setintake             Thiết lập mức Tiếp nhận Tù nhân thành 10 người mỗi ngày

objective_conviction_unlocklabour_description	 Bạn có thể tìm thấy màn hình hành chính bằng cách nhấp vào biểu tượng phía trên danh sách việc cần làm này.
objective_conviction_work_kitchen_description	 Để phân công tù nhân vào nhà bếp, hãy vào mục 'Hậu cần' rồi chọn 'Lao động tù nhân'.\n\nLưu ý: Tù nhân của bạn phải vượt qua khóa đào tạo 'An toàn và Vệ sinh Bếp ăn' trước khi họ có thể làm việc trong nhà bếp.				
objective_conviction_work_assignworkshop_description 	Để phân công tù nhân vào xưởng lao động, hãy vào mục 'Hậu cần' rồi chọn 'Lao động tù nhân'.\n\nTù nhân của bạn phải vượt qua khóa 'Hướng dẫn An toàn xưởng' trước khi họ đủ điều kiện làm việc trong xưởng lao động.
objective_conviction_work_trainkitchen_description 		Để vận hành các chương trình đào tạo và cải tạo, hãy vào mục 'Báo cáo' (dưới cùng bên phải) rồi chọn 'Chương trình'. Tù nhân sẽ tham gia các chương trình này trong thời gian lao động được phân công của họ.\n\nLưu ý: bạn sẽ cần phân công hai giờ 'Lao động' trong màn hình lịch sinh hoạt, nếu không tù nhân sẽ không có thời gian tham gia các chương trình đào tạo.
objective_conviction_work_trainworkshop_description 	Để vận hành các chương trình đào tạo và cải tạo, hãy vào mục 'Báo cáo' (dưới cùng bên phải) rồi chọn 'Chương trình'. Tù nhân sẽ tham gia các chương trình này trong thời gian lao động được phân công của họ.\n\nLưu ý: bạn sẽ cần phân công hai giờ 'Lao động' trong màn hình lịch sinh hoạt, nếu không tù nhân sẽ không có thời gian tham gia các chương trình đào tạo.
objective_conviction_work_setintake_description         Để đảm bảo nhà tù của bạn không trở nên quá tải, hãy vào mục 'Báo cáo' (dưới cùng bên phải) rồi chọn 'Tiếp nhận', và sử dụng nút << để giảm mức tiếp nhận xuống còn 10.

objective_conviction_visitation				Thiết lập dịch vụ thăm nuôi tốt hơn 
objective_conviction_visitationroom	         Xây dựng một khu đón khách mới 
objective_conviction_visitationcount		Hỗ trợ thực hiện 20 lượt thăm nuôi của gia đình tù nhân
objective_conviction_telephones	 			Thêm buồng điện thoại vào tất cả các Sân tù
objective_conviction_mailroom				Xây dựng một Phòng thư tín
objective_conviction_mailroomwork			Phân công tù nhân làm việc trong phòng thư tín 

objective_conviction_mailroomwork_description            Để phân công tù nhân vào Phòng thư tín, hãy vào mục 'Hậu cần' rồi chọn 'Lao động tù nhân'. 

objective_conviction_education				Bắt đầu giáo dục các tù nhân của bạn 
objective_conviction_unlockeducation		Cấp phép 'Giáo dục' thông qua Hành chính
objective_conviction_education_classroom	Xây dựng một phòng học 
objective_conviction_education_class 		Vận hành một lớp Giáo dục cơ bản 
objective_conviction_education_learn		(TÙY CHỌN) Có 5 tù nhân vượt qua lớp Giáo dục cơ bản
objective_conviction_education_library		Xây dựng một thư viện
objective_conviction_education_librarywork	Phân công tù nhân làm việc trong thư viện
objective_conviction_education_chapel		Xây dựng một nhà nguyện
objective_conviction_education_spiritual	Vận hành một lớp Hướng dẫn tâm linh 

objective_conviction_expandcapacity100			Mở rộng sức chứa của nhà tù
objective_conviction_expandcapacity_cells100	Mở rộng lên sức chứa 80 phòng giam
objective_conviction_expandcapacity_cells200	(TÙY CHỌN) Mở rộng lên sức chứa 120 phòng giam

objective_Conviction_PlayerExitsMap         Nhấp vào ảnh polaroid trong phòng giam của Morgan khi bạn hoàn thành.

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                Tự lực cánh sinh
campaigncutscene_epilogueintro          Gặp lại
campaigncutscene_epilogueoutro          Vĩ thanh 

campaignchapter_epilogue_description    Một nhà tù lịch sử đã được lên lịch phá dỡ và thay thế. Hãy sử dụng tất cả các kỹ năng bạn đã học được để tạo ra một cơ sở tối tân.

adviser_name_reporter 					Phóng viên

epilogue_newsintro1 					Hôm nay trên bản tin CNDC, một phóng sự đặc biệt về tình trạng các nhà tù của chúng ta.
epilogue_newsintro2 					Đã hai năm trôi qua kể từ 'Cuộc vây hãm tại Alchemico' khét tiếng cướp đi sinh mạng của rất nhiều người, bao gồm cả Tổng giám đốc Charles Wallace. 
epilogue_newsintro4 					Hôm nay chúng ta sẽ lắng nghe ý kiến từ các chuyên gia hàng đầu và đặt câu hỏi xem điều gì, nếu có, đã thay đổi kể từ những sự kiện bi thảm đó. 
epilogue_newsintro5 					Trước tiên, chúng ta sẽ kết nối trực tiếp đến một trong những nhà tù hoạt động lâu đời nhất của bang, vừa mới được lên kế hoạch phá dỡ.
epilogue_newsintro6						Phát sóng trực tiếp ngay bây giờ, chỉ có trên bản tin CNDC.

epilogue_reporter1						Cảm ơn Sarah. Nhà tù này từng là nơi giam giữ một số tội phạm khét tiếng nhất cả nước.  
epilogue_reporter2 						Nhưng giờ đây, những bức tường của nó đang bị phá bỏ, sẵn sàng để được thay thế bằng một tổ hợp nhà tù mới.
epilogue_reporter3 						Nếu các bạn nhìn ra phía sau tôi, các bạn có thể thấy các đội thi công đã có mặt ở đây và công việc phá dỡ đã bắt đầu.
epilogue_reporter4 						Đồng hành cùng tôi là Thị trưởng thành phố, Calvin Heller. Cảm ơn ông Heller đã dành thời gian trò chuyện với chúng tôi hôm nay.
epilogue_reporter5 						Đó là niềm vinh hạnh của tôi.

epilogue_reporter6 						Trước đây ông từng là người ủng hộ mạnh mẽ phương pháp quản lý nhà tù cứng rắn và kỷ luật hơn.
epilogue_reporter6b 					Tại sao lại phá dỡ một cơ sở đã định hình cách tiếp cận mang tính trừng phạt trong một thời gian dài như vậy?
epilogue_reporter7 						Cả nhà tù và phương thức vận hành của nó đều đã trở nên lỗi thời. 
epilogue_reporter8 						Chúng tôi đã đưa ra quyết định thay thế nó bằng một cơ sở hoàn toàn mới. Một cơ sở với chính sách hiện đại hơn.
epilogue_reporter9						Nhà tù này từng xuất hiện trên tin tức vài năm trước với tư cách là một trong những cơ sở hành hình còn lại cuối cùng của bang.
epilogue_reporter10 					Các nhà vận động từ lâu đã tìm cách hủy bỏ luật hình phạt tử hình ở đây. Ông sẽ tôn trọng nguyện vọng của họ, hay ông sẽ xây dựng lại phòng hành hình?
epilogue_reporter12 					Điều đó vẫn đang được xem xét. Nhưng đó không phải là một quyết định mà chúng tôi sẽ đưa ra một cách xem nhẹ.

epilogue_reporterend1 					Cảm ơn Thị trưởng Heller. Xin nhường lời lại cho trường quay.
epilogue_newstransition1 				Đây là bản tin CNDC, phóng sự trực tiếp về tình trạng hệ thống nhà tù của chúng ta.
epilogue_newstransition2 				Sau phần quảng cáo, chúng ta sẽ có sự tham gia của Bác sĩ Walter Hurst, một chuyên gia về tâm lý học và cải tạo tù nhân.

epilogue_parole1 						Vẫn không có gì sao? Đã bao lâu rồi?
epilogue_parole2						Tôi không đếm xuể nữa. Không điện thoại. Không thư từ.
epilogue_parole3 						Tôi rất tiếc, Morgan. Chuyện đó hẳn là đau lòng lắm. Nhưng anh có một cơ hội ở đây. Đừng làm hỏng chuyện.
epilogue_parole4 						Henry. Chúc may mắn.
epilogue_parole5 						Đừng cố nói với họ những gì anh nghĩ họ muốn nghe.
epilogue_parole6 						Tôi phải đi rồi. Tôi sẽ lên sóng trực tiếp trong một phút nữa.
epilogue_parole7                        Thị trưởng Heller, ý kiến của ông là gì?
epilogue_parole10 						Nhanh quá vậy!
epilogue_parole11 						Thế nào?
epilogue_parole12                       ...

epilogue_outro_1 						Chào mừng trở lại với phiên bản đặc biệt này của bản tin CNDC, phát sóng trực tiếp cùng Thị trưởng thành phố Calvin Heller.
epilogue_outro_2 						Tham gia cùng chúng ta bây giờ là Bác sĩ Walter Hurst, người từng bị cáo buộc lãng phí những khoản tiền khổng lồ vào việc cải tạo nhà tù.
epilogue_outro_2b 						Bác sĩ Hurst, ông có tin rằng mình đã đạt được thành công không?
epilogue_outro_3						Thành công sao? Không. Nhìn chung là chưa. 
epilogue_outro_4						Tôi tin rằng tất cả mọi người đều có tiềm năng để tiến bộ. Và chúng ta phải trao cho họ cơ hội đó.
epilogue_outro_4b 						Tôi có thể khẳng định với niềm tin tuyệt đối rằng tôi đã thấy sự tiến bộ thực sự trong thái độ và hy vọng của nhiều người bị giam giữ ở đây.
epilogue_outro_5						Giam giữ phải là một biện pháp răn đe. Đó không nên là một cơ hội để phát triển hay thay đổi.
epilogue_outro_6 						Việc trừng phạt và tước đoạt tính người của họ trong quá trình trải nghiệm chỉ tổ nuôi dưỡng thêm thói phạm tội. 

epilogue_outro_7						Chúng tôi cung cấp cho những người này các kỹ năng giá trị, nhưng quan trọng hơn cả, là niềm hy vọng.
epilogue_outro_7b  						Chúng tôi đang giúp họ tái hòa nhập vào xã hội, và đóng góp sau khi họ rời đi.
epilogue_outro_8						Công dân bình thường còn không được đào tạo miễn phí. Giáo dục miễn phí. Công việc đảm bảo có lương. 
epilogue_outro_8b 						Chúng ta đang bỏ bê các nạn nhân của tội phạm, và ban thưởng cho những kẻ thủ ác.
epilogue_outro_8c 						Chi tiêu những khoản tiền khổng lồ, chỉ đơn giản để làm cho những tên tội phạm này cảm thấy tốt về bản thân chúng.
epilogue_outro_9						Chúng ta có thể tạo ra sự khác biệt, ngay cả khi chúng ta phải làm điều đó với từng cá nhân một.
epilogue_outro_10						Những kẻ này chưa hề tự mình giành lấy tự do của họ. Quyền tự do của họ.
epilogue_outro_11						Bạn có thể bảo một con mèo đực cả trăm lần rằng hãy để yên cho lũ chim ở sân sau nhà bạn. Nhưng nó sẽ luôn quay lại thôi.
epilogue_outro_12 						Bản tính của nó là thế rồi.

epilogue_sandbox_1                      Cho tôi gửi lời chúc mừng đến bạn khi được bổ nhiệm làm Tổng giám đốc. Đây là một cơ hội. Một sự khởi đầu mới.
epilogue_sandbox_2                      Bạn sẽ có quyền tự chủ hoàn toàn, ít nhiều là vậy. Nhiều tù nhân hơn. Tỷ lệ tái phạm cao hơn. Bạn có rất nhiều thách thức phía trước.
epilogue_sandbox_3						Còn về cơ sở tử tù, hãy phá dỡ nó. Hoặc giữ lại, tận dụng nó vào việc gì đó. Quyết định thực sự là ở bạn. Người khác sẽ tiếp quản mảng kinh doanh đó nếu bạn không làm. 
epilogue_sandbox_4						Về các mục tiêu, tôi sẽ giao cho bạn những mục tiêu tương tự như tôi đã giao cho người tiền nhiệm. Lợi nhuận, tỷ lệ tái phạm, sức chứa. 
epilogue_sandbox_5 						Hoàn toàn tùy thuộc vào bạn cách bạn đạt được chúng.
epilogue_sandbox_5b                      Một điều cuối cùng. Tổng giám đốc tiền nhiệm Charles Wallace có để lại một lá thư mà ông ấy thường trao cho bất kỳ kiến trúc sư nhà tù mới nào gia nhập công ty.
epilogue_sandbox_5c                      Ông ấy có vài lời khuyên bổ ích. Bạn có thể thấy hữu ích khi xem qua đấy.
epilogue_sandbox_6						Chúc may mắn!

objective_epilogue_grants				Gây quỹ thông qua hệ thống Trợ cấp
objective_epilogue_grants_description    Trợ cấp là một trong những phương pháp chính để huy động số lượng tiền mặt lớn cần thiết để xây dựng nhà tù.\n\nBạn có thể tìm thấy hàng loạt khoản trợ cấp trong mục Báo cáo (dưới cùng bên phải màn hình) dưới tab 'Trợ cấp'. Các cơ quan khác nhau sẽ cung cấp tiền cho bạn để xây dựng các phần cụ thể trong nhà tù của bạn từ con số không.

objective_epilogue_certifiedprison		Xây dựng một nhà tù
objective_epilogue_capacity				Sức chứa ít nhất 100 tù nhân 
objective_epilogue_bankbalance			Số dư ngân hàng ít nhất $60,000 
objective_epilogue_cashflow				Dòng tiền ròng dương

epilogue_outrointro_1                    Tôi có thể thấy bạn đang có một khởi đầu rất tốt.
epilogue_outrointro_2                    Nếu bạn ở gần tivi, bạn nên bật nó lên ngay bây giờ. Có thứ tôi muốn bạn xem.

epilogue_basiccompletion_1 				Bạn đã đạt được các yêu cầu tối thiểu cho một nhà tù bang. Bạn đi từ đây đến đâu là tùy thuộc vào bạn.
epilogue_basiccompletion_2 				Tại thời điểm này, việc tiến hành như thế nào hoàn toàn tùy thuộc vào bạn và công ty của bạn.
epilogue_basiccompletion_3 				Tại văn phòng Thị trưởng, chỉ có một con số duy nhất mà chúng tôi quan tâm, đó là tỷ lệ tái phạm.
epilogue_basiccompletion_4	 			Nếu bạn có thể giảm tỷ lệ tái phạm trong số các tù nhân của mình, tôi sẽ gọi đó là một thành công.
epilogue_basiccompletion_5 				Những người như Bác sĩ Hurst tin rằng bạn chỉ có thể đạt được điều đó thông qua giáo dục, cải tạo, đào tạo kỹ năng và những việc tương tự.
epilogue_basiccompletion_6 				Theo ý kiến của tôi, trừng phạt cũng có thể là một phương pháp hiệu quả không kém.
epilogue_basiccompletion_8 				Tùy bạn thôi. Chúc bạn gặp nhiều may mắn nhất!
epilogue_basiccompletion_9 				Khi bạn hoàn thành, hãy nhấp vào ảnh polaroid trên đường để rời khỏi nhà tù.

objective_epilogue_reoffending			(TÙY CHỌN) Giảm tỷ lệ tái phạm của nhà tù
objective_epilogue_reoffending_description	Bạn có thể xem tỷ lệ tái phạm của mình trong màn hình 'Xếp hạng trại'. Nhấp vào biểu tượng ở góc trên cùng bên trái của màn hình.

objective_epilogue_reoffending_rate		Giảm tỷ lệ tái phạm xuống còn 30% hoặc ít hơn
objective_epilogue_reoffending_released	Có ít nhất 10 tù nhân được trả tự do

objective_Epilogue_PlayerExitsMap				Khi bạn cảm thấy mình đã làm đủ, hãy nhấp vào ảnh polaroid trên đường để tiếp tục.
objective_epilogue_playerexitsmap_description	Có thể tìm thấy ảnh polaroid trên con đường, gần khu giao hàng.


# =============================================================================
# Credits
# =============================================================================

campaigncutscene_epiloguecredits        Credits

credits_createdby1                      - Được tạo bởi -
credits_createdby2                      Chris Delay
credits_producer1                       - Sản xuất bởi -
credits_producer2                       Mark Morris
credits_art1                            - Đồ họa -
credits_art2                            Ryan Sumo
credits_sound1                          - Âm thanh -
credits_sound2                          Alistair Lindsay
credits_screenplay1                     - Kịch bản -
credits_screenplay2                     Chris Hastings
credits_programmers                     - Lập trình viên -
credits_programmers1                    John Knottenbelt
credits_programmers2                    Leander Hambley
credits_programmers3                    Gary Chambers
credits_programmers4                    Andrew Lim
credits_programmers5                    Jeffrey Sheen
credits_programmers6                    Finlay Curran
credits_graphicdesign1                  - Thiết kế đồ họa -
credits_graphicdesign2                  Morten Pedersen
credits_special                         - Lời cảm ơn đặc biệt -
credits_special1                        Will Morris
credits_special2                        Sam Morris
credits_special3                        Jo Stansfield
credits_special4                        John Cook
credits_special5                        Alex Chapman
credits_special6                        Alex Tutty
credits_special7                        Double Eleven
credits_introversion                    - INTROVERSION SOFTWARE -
credits_introversion1                    Chris Delay
credits_introversion2                    Mark Morris
credits_introversion3                    John Knottenbelt
credits_introversion4                    Thomas Arundel
credits_pa1                             PRISON
credits_pa2                             ARCHITECT


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Xuất bản nhà tù sang Minecraft
codex_mcexportname						Bộ xuất bản Minecraft
codex_worldnametitle					Tên thế giới
codex_seedtitle							Mã hạt giống
codex_gamemodetitle						Chế độ chơi
codex_mapfeattitle						Tính năng bản đồ
codex_cheatstitle						Gian lận
codex_timeofdaytitle					Thời gian trong ngày
codex_rainingtitle						Trời mưa
codex_thunderingtitle					Có sấm sét
codex_generatortitle					Trình tạo thế giới
codex_scaletitle						Tỷ lệ
codex_exporttomc						Xuất bản
codex_mcexport_default					Mặc định
codex_mcexport_flat						Thế giới phẳng
codex_mcexport_largebiomes				Các hệ sinh thái lớn
codex_mcexport_survival					Sinh tồn
codex_mcexport_creative					Sáng tạo
codex_mcexport_adventure				Phiêu lưu


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   Vượt ngục - Đó là lối thoát duy nhất của bạn
escapemode_help                         Bước một: Danh tiếng - Danh tiếng của bạn là tất cả ở trong này\n\n• Tăng danh tiếng của bạn bằng cách gây chiến. Làm tổn thương người khác thực sự sẽ khiến bạn được chú ý nhưng đập phá đồ đạc là một điểm bắt đầu tốt. Bạn có thể gây ra càng nhiều thiệt hại trong một trận chiến thì càng tốt.\n• Không để lại nhân chứng. Nếu một cai ngục phát hiện bạn đang đánh nhau, bạn sẽ bị trừng phạt vì điều đó, trừ khi tất cả họ không còn ở đó nữa.\n• Bị đánh ngất trông rất tệ. Tốt hơn hết bạn nên kết thúc trận chiến theo điều kiện của riêng mình.\n\nBước hai: Đội - Chiêu mộ những người khác tham gia vào nỗ lực vượt ngục của bạn\n\n• Huýt sáo để gọi họ lại và họ sẽ dính chặt lấy bạn mọi lúc mọi nơi bạn đi. (Nhấp vào tên của họ ở góc trên bên trái)\n• Họ thậm chí sẽ tham gia cùng bạn trong các trận chiến, điều này có thể giúp bạn tăng danh tiếng nhanh hơn nữa.\n• Huấn luyện đội của bạn. Bạn sẽ không bao giờ biết được khi nào việc có một cao thủ võ thuật hoặc một người chạy nước rút cạnh tranh ở gần sẽ trở nên hữu ích.\n\nBước ba: Hàng cấm - Bạn sẽ cần vũ khí và công cụ\n\n• Tìm một căn phòng nơi có thứ bạn muốn. Hãy nhìn xung quanh và bạn sẽ nhanh chóng tìm thấy thứ gì đó hữu ích mà bạn có thể ăn trộm.\n• Coi chừng máy dò kim loại và cai ngục đang cố khám xét bạn. Nếu bạn bị phát hiện có mang theo bất cứ thứ gì, họ sẽ tịch thu nó và ném bạn vào phòng biệt giam.\n• Giấu đồ trang bị của bạn. Bạn có thể giấu những gì tìm được trong phòng giam của mình hoặc phòng giam của người khác, chỉ cần nhớ nơi bạn đã để đồ.\n\nBước bốn: Đường hầm - Lối thoát lặng lẽ\n\n• Nhặt một công cụ đào và bắt đầu đào hầm từ bồn cầu trong phòng giam của bạn.\n• Đào hầm rất chậm. Hãy để các thành viên trong đội của bạn giúp bạn đào.\n• Đừng để bị phát hiện. Nếu một cai ngục nhìn thấy bạn đi vào hoặc đi ra khỏi đường hầm, bạn sẽ bị lộ tẩy.\n\nChúc may mắn. Bạn sẽ cần đến nó đấy.

codex_escapemode                        Chế độ Vượt ngục
codex_escapemode_developer              (Nhà phát triển) Chế độ Vượt ngục
codex_escapemode_new                    Nỗ lực vượt ngục mới
codex_escapemode_load                   Tải tiến trình vượt ngục
codex_escapemode_save                   Lưu tiến trình vượt ngục
codex_escapemode_workshop               Chế độ Vượt ngục (Steam Workshop)
codex_escapemode_workshop_star_rating   Từ *S Sao trở lên

escapemode_combat_attack                Tấn công
escapemode_combat_attack_button         Chuột trái
escapemode_combat_lunge                 Lao tới
escapemode_combat_lunge_button          Shift
escapemode_dig_button                    Giữ chuột trái
escapemode_dig                          Đào
escapemode_surrender                    Đầu hàng
escapemode_surrender_safe                Kết thúc trận chiến
escapemode_surrender_button              Space

escapemode_helpletter                    Trợ giúp

escapemode_reputation_points            Điểm danh tiếng:
escapemode_reputations_cost             *C Điểm danh tiếng
escapemode_reputations_max              TỐI ĐA

escapesquad_squad_member                Thành viên đội
escapesquad_recruitment                  Giữ chuột phải để chiêu mộ
escapesquad_recruitment_cost            Chi phí điểm danh tiếng: *C
escapesquad_toggle_follow                Bật/Tắt đi theo
escapesquad_nameplate_following          Đang đi theo
escapesquad_skip_punishments            Bỏ qua hình phạt
escapesquad_skip_punishments_tooltip    Tiêu tốn một điểm danh tiếng để tất cả thành viên trong đội ngủ qua thời gian chịu phạt và thức dậy trong phòng giam của họ.
escapesquad_sleep                        Ngủ
escapesquad_sleep_tooltip                Nhấp để ngủ qua đêm.
escapesquad_reputations                  Tiếng tăm
escapesquad_reputations_tooltip          Sử dụng điểm danh tiếng vào mục tiếng tăm để cải thiện khả năng chiến đấu của đội bạn. 
escapesquad_follow_mode                  Chế độ đi theo
escapesquad_follow_mode_tooltip          Các tù nhân ở chế độ đi theo sẽ đi theo bạn và bắt chước các hành vi sai phạm của bạn.\n\nSử dụng phím R để bật/tắt chế độ đi theo cho toàn bộ tù nhân cùng một lúc.
escapesquad_remove_member                Xóa thành viên đội
escapesquad_remove_member_tooltip        Nhấp để xóa tù nhân này khỏi đội của bạn.
escapesquad_escaped                      Đã trốn thoát

escapemode_sprint_unlock                 \n\nMở khóa tính năng chạy nước rút bằng cách giữ phím Shift. Chạy nước rút chỉ khả dụng khi bạn không ở trong một trận chiến.

escapemode_info_right_click              Chuột phải
escapemode_info_hold_right_click        Giữ chuột phải
escapemode_info_stash                    để giấu đồ hàng cấm
escapemode_info_pick_up                  để nhặt hàng cấm
escapemode_info_start_tunnel            để bắt đầu đào hầm
escapemode_info_enter_tunnel            để đi vào đường hầm
escapemode_info_exit_tunnel              để đi ra khỏi đường hầm
escapemode_info_dig_up                  để đào lên
escapemode_info_steal                    để ăn trộm

escapemode_info_tool                     [Công cụ đào]
escapemode_info_damage                  Sát thương: *D
escapemode_info_recharge                Thời gian hồi chiêu: *T

escapemode_gameover                      Trò chơi kết thúc
escapemode_gameover_squad_title          Đội
escapemode_gameover_casualties_title    Nạn nhân thương vong
escapemode_gameover_totalscore_title    Tổng điểm
escapemode_gameover_totaltime_title      Thời gian đã qua
escapemode_gameover_time_days            *D Ngày, *H Giờ và *M Phút
escapemode_gameover_time                *H Giờ và *M Phút

codex_workshop_select_random_prison      Nhà tù ngẫu nhiên từ Workshop
codex_workshop_searching                Đang tìm kiếm...


# =============================================================================
# Warden Mode
# =============================================================================

codex_wardenmode_debugstart              Bắt đầu Chế độ Giám đốc

buildtoolbar_inventory                  Kho đồ
buildtoolbar_tooltip_inventory          Phím tắt: (TAB)\n\nQuản lý kho đồ của giám đốc trại và đội bảo vệ cá nhân.

wardenmode_combat                        CHO PHÉP TỰ VỆ
wardenmode_combat_caption                Giờ đây bạn được tự do bảo vệ bản thân trước những tù nhân bạo lực

wardenmode_combatwarning                KHÔNG CHO PHÉP TỰ VỆ
wardenmode_combatwarning_caption        Bạn không được làm tổn hại tù nhân trừ khi đó là hành động tự vệ

wardenmode_info_pick_up                  để nhặt lên

wardensquad_wardenprotection            Bảo vệ Giám đốc
wardensquad_recruitment_cost            Chi phí mỗi ngày: +$*C
wardensquad_nameplate_following          Đang đi theo
wardensquad_remove_member                Hủy bảo vệ Giám đốc
wardensquad_remove_member_tooltip        Nhấp để xóa cai ngục này khỏi đội bảo vệ cá nhân của bạn.\nViệc này sẽ giúp bạn tiết kiệm $*C mỗi ngày.


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         Kinh thánh trò chơi
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              TRANG *X
codex_gamebible_doublepage              TRANG *X - *Y
object_collectable                      Trang sổ tay


# =============================================================================
# Multiplayer
# =============================================================================

codex_startonline                    Chế độ trực tuyến
codex_start                         Tạo trò chơi
