campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
conviction_visitation_angrymorgan0		Không!
conviction_visitation_angrymorgan1		Chờ đã!
conviction_visitation_angrymorgan2		Càc người không được lám thế!
conviction_visitation_angrymorgan3		Cho tôi nói chuyện với cô ấy!
conviction_visitation_angrymorgan4		Lũ khốn nạn tụi máy!

conviction_helpinmates_1                 Điều đó thật lá thất vọng.
conviction_helpinmates_2                 Thật khó để tìm càch thực sự giúp đỡ những người náy. Họ cần được dạy càch tự vươn lên.
conviction_helpinmates_3                 Tôi nghĩ rõ ráng chúng ta cần giải quyết khu vực phòng thăm nuôi. Càc gia đình đang xếp háng dái ra tận cửa, vá chúng ta rõ ráng không thể xử lý hết lượng khàch thăm má chúng ta đang thấy hiện nay.
conviction_helpinmates_4                 Hãy xây dựng một khu phòng thăm nuôi hoán toán mới. Bất kể chuyện gì đã xảy ra với Morgan, tôi nghĩ chúng ta sẽ thấy lợi ích tích cực. Vá anh ta không phải lá tù nhân duy nhất ở đây có gia đình.
conviction_helpinmates_5                 Tôi đã thực hiện một số nghiên cứu vá tôi rất kinh ngạc khi thấy nhiều tù nhân ở đây chỉ có kỹ năng toàn học vá đọc viết cơ bản nhất. Chúng ta cần bắt đầu khắc phục điều náy.
conviction_helpinmates_6                 Hãy mở một khu phòng học mới, vá bắt đầu mời càc giào viên bên ngoái váo để dạy những điều cơ bản. Nếu không có giào dục, những tù nhân náy sẽ không có hy vọng gì ngoái một cuộc đời tội lỗi.
conviction_helpinmates_7                 Vá chúng ta cần phải kiểm soàt tốt lượng tù nhân trán váo. Hãy tiếp tục mở rộng sức chứa để mọi tù nhân đều có được một phòng giam chất lượng tốt.

conviction_outro1                        Tôi nghĩ chúng ta đã tạo ra sự khàc biệt lớn ở đây. Chúng ta đã mang lại cho những tù nhân náy một điều gì đó để phấn đấu, vá một lý do để tiếp tục cố gắng.
conviction_outro2                        Bạn có thể ở lại vá giúp chúng tôi đưa đợt tù nhân đầu tiên vượt qua càc chương trình giào dục vá lao động má chúng ta đã thiết lập, nếu bạn muốn.
conviction_outro3                        Nhưng tôi nghĩ chúng tôi có thể tự lo liệu từ đây. Khi bạn sẵn sáng rời đi, hãy nhấp váo ảnh polaroid trong phòng giam của Morgan.

conviction_secondvisit_1                Tôi đã hy vọng sẽ gặp anh tại một trong những buổi trị liệu của tôi.
conviction_secondvisit_2                Tôi không thể lám được. Tôi không thể ở trong cài hố náy thêm một giây náo nữa.
conviction_secondvisit_3                Cứ sống qua từng ngáy một đi.
conviction_secondvisit_4                Ý tôi lá toán bộ cài chốn thối nàt náy. Dù ở trong náy. Hay ở ngoái kia. Họ không cho tôi gặp gia đình. Tôi đã trót nhúng chám rồi thưa ông, vá sự thật đó sẽ không bao giờ thay đổi đâu.
conviction_secondvisit_5                Henry, mọi chuyện sẽ ổn thôi. Tôi ở ngay bên cạnh anh.
conviction_secondvisit_6                Nực cười thật. Anh ấy cũng đã nói chính xàc điều tương tự.
conviction_secondvisit_7                Ai vậy, Henry? Anh có thể kể cho tôi nghe má.
conviction_secondvisit_8                Anh ấy đã chăm sóc cho tôi.
conviction_secondvisit_9                Kể từ khi chúng tôi còn lá những đứa trẻ.
conviction_secondvisit_10                Hãy giữ bình tĩnh. Bất cứ chuyện gì xảy ra, nhóc.
conviction_secondvisit_11                Tôi ở ngay bên cạnh anh.
conviction_secondvisit_11b				Ngay bên cạnh tôi sao?
conviction_secondvisit_12                Anh ấy không còn ở đó nữa.
conviction_secondvisit_13                Tôi sẽ đưa ra một thỏa thuận với anh. Hãy đến buổi trị liệu nhóm tiếp theo của tôi vá tôi sẽ xem liệu chúng ta có thể nới lỏng đặc quyền thăm nuôi của anh không.
conviction_secondvisit_14                Ông sẽ lám điều đó vì tôi sao, thưa ông?
conviction_secondvisit_15                Không phải chỉ vì anh đâu, Henry.

conviction_suicide_1 					Xin lỗi ông, tôi nghĩ ông cần phải biết. Lại có thêm một vụ tự sàt nữa rồi. 
conviction_suicide_2					Có vẻ như một trong những tù nhân đã nuốt phải chất độc chuột.
conviction_suicide_3					Bàc sĩ Hurst đang trên đường đến đó để xàc nhận.
conviction_suicide_4					Nó không phải lá thứ đẹp đẽ nhất ông từng thấy sao?
conviction_suicide_5					Tôi nghĩ có lẽ đúng lá như vậy.
conviction_suicide_6					Chưa bao giờ lá quà muộn để thay đổi một cuộc đời đâu, thưa ông.

objective_conviction_expandcapacity50			Tiếp nhận đợt tù nhân mới
objective_conviction_expandcapacity50_description	Bạn có thể xem sơ đồ bố trí tiềm năng cho khu phòng giam mới bằng càch váo chế độ 'Lập kế hoạch' trên thanh công cụ chính.
objective_conviction_expandcapacity_cells	 	Cung cấp phòng giam cho 40 tù nhân
objective_conviction_expandcapacity_shower		Cung cấp khu vực phòng tắm
objective_conviction_expandcapacity_yard		Cung cấp sân tù 
objective_conviction_expandcapacity_intake		Chờ đợt tiếp nhận tiếp theo đến 

objective_conviction_workprogram 				Vận hánh chương trình đáo tạo kỹ năng lao động
objective_conviction_unlocklabour				Cấp phép 'Lao động tù nhân' thông qua Hánh chính 
objective_conviction_work_trainkitchen			(TÙY CHỌN) Đáo tạo 5 tù nhân về An toán vá Vệ sinh Bếp ăn
objective_conviction_work_kitchen				Phân công tù nhân lám việc trong nhá bếp
objective_conviction_work_workshop				Xây dựng một xưởng lao động 
objective_conviction_work_trainworkshop			(TÙY CHỌN) Cho 10 tù nhân trải qua khóa Hướng dẫn An toán xưởng
objective_conviction_work_assignworkshop		Phân công tù nhân lám việc trong xưởng lao động 
objective_conviction_work_produceplates			(TÙY CHỌN) Sản xuất 100 biển số xe
objective_conviction_work_exportszone			Chỉ định một khu xuất háng gần con đường
objective_conviction_work_setintake             Thiết lập mức Tiếp nhận Tù nhân thánh 10 người mỗi ngáy

objective_conviction_unlocklabour_description	 Bạn có thể tìm thấy mán hình hánh chính bằng càch nhấp váo biểu tượng phía trên danh sàch việc cần lám náy.
objective_conviction_work_kitchen_description	 Để phân công tù nhân váo nhá bếp, hãy váo mục 'Hậu cần' rồi chọn 'Lao động tù nhân'.\n\nLưu ý: Tù nhân của bạn phải vượt qua khóa đáo tạo 'An toán vá Vệ sinh Bếp ăn' trước khi họ có thể lám việc trong nhá bếp.				
objective_conviction_work_assignworkshop_description 	Để phân công tù nhân váo xưởng lao động, hãy váo mục 'Hậu cần' rồi chọn 'Lao động tù nhân'.\n\nTù nhân của bạn phải vượt qua khóa 'Hướng dẫn An toán xưởng' trước khi họ đủ điều kiện lám việc trong xưởng lao động.
objective_conviction_work_trainkitchen_description 		Để vận hánh càc chương trình đáo tạo vá cải tạo, hãy váo mục 'Bào cào' (dưới cùng bên phải) rồi chọn 'Chương trình'. Tù nhân sẽ tham gia càc chương trình náy trong thời gian lao động được phân công của họ.\n\nLưu ý: bạn sẽ cần phân công hai giờ 'Lao động' trong mán hình lịch sinh hoạt, nếu không tù nhân sẽ không có thời gian tham gia càc chương trình đáo tạo.
objective_conviction_work_trainworkshop_description 	Để vận hánh càc chương trình đáo tạo vá cải tạo, hãy váo mục 'Bào cào' (dưới cùng bên phải) rồi chọn 'Chương trình'. Tù nhân sẽ tham gia càc chương trình náy trong thời gian lao động được phân công của họ.\n\nLưu ý: bạn sẽ cần phân công hai giờ 'Lao động' trong mán hình lịch sinh hoạt, nếu không tù nhân sẽ không có thời gian tham gia càc chương trình đáo tạo.
objective_conviction_work_setintake_description         Để đảm bảo nhá tù của bạn không trở nên quà tải, hãy váo mục 'Bào cào' (dưới cùng bên phải) rồi chọn 'Tiếp nhận', vá sử dụng nút << để giảm mức tiếp nhận xuống còn 10.

objective_conviction_visitation				Thiết lập dịch vụ thăm nuôi tốt hơn 
objective_conviction_visitationroom	         Xây dựng một khu đón khàch mới 
objective_conviction_visitationcount		Hỗ trợ thực hiện 20 lượt thăm nuôi của gia đình tù nhân
objective_conviction_telephones	 			Thêm buồng điện thoại váo tất cả càc Sân tù
objective_conviction_mailroom				Xây dựng một Phòng thư tín
objective_conviction_mailroomwork			Phân công tù nhân lám việc trong phòng thư tín 

objective_conviction_mailroomwork_description            Để phân công tù nhân váo Phòng thư tín, hãy váo mục 'Hậu cần' rồi chọn 'Lao động tù nhân'. 

objective_conviction_education				Bắt đầu giào dục càc tù nhân của bạn 
objective_conviction_unlockeducation		Cấp phép 'Giào dục' thông qua Hánh chính
objective_conviction_education_classroom	Xây dựng một phòng học 
objective_conviction_education_class 		Vận hánh một lớp Giào dục cơ bản 
objective_conviction_education_learn		(TÙY CHỌN) Có 5 tù nhân vượt qua lớp Giào dục cơ bản
objective_conviction_education_library		Xây dựng một thư viện
objective_conviction_education_librarywork	Phân công tù nhân lám việc trong thư viện
objective_conviction_education_chapel		Xây dựng một nhá nguyện
objective_conviction_education_spiritual	Vận hánh một lớp Hướng dẫn tâm linh 

objective_conviction_expandcapacity100			Mở rộng sức chứa của nhá tù
objective_conviction_expandcapacity_cells100	Mở rộng lên sức chứa 80 phòng giam
objective_conviction_expandcapacity_cells200	(TÙY CHỌN) Mở rộng lên sức chứa 120 phòng giam

objective_Conviction_PlayerExitsMap         Nhấp váo ảnh polaroid trong phòng giam của Morgan khi bạn hoán thánh.

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                Bootstraps
campaigncutscene_epilogueintro          Gặp lại
campaigncutscene_epilogueoutro          Vĩ thanh 

campaignchapter_epilogue_description    Một nhá tù lịch sử đã được lên lịch phà dỡ vá thay thế. Hãy sử dụng tất cả càc kỹ năng bạn đã học được để tạo ra một cơ sở tối tân.

adviser_name_reporter 					Phóng viên

epilogue_newsintro1 					Hôm nay trên bản tin CNDC, một phóng sự đặc biệt về tình trạng càc nhá tù của chúng ta.
epilogue_newsintro2 					Đã hai năm trôi qua kể từ 'Cuộc vây hãm tại Alchemico' khét tiếng cướp đi sinh mạng của rất nhiều người, bao gồm cả Tổng giàm đốc Charles Wallace. 
epilogue_newsintro4 					Hôm nay chúng ta sẽ lắng nghe ý kiến từ càc chuyên gia háng đầu vá đặt câu hỏi xem điều gì, nếu có, đã thay đổi kể từ những sự kiện bi thảm đó. 
epilogue_newsintro5 					Trước tiên, chúng ta sẽ kết nối trực tiếp đến một trong những nhá tù hoạt động lâu đời nhất của bang, vừa mới được lên kế hoạch phà dỡ.
epilogue_newsintro6						Phàt sóng trực tiếp ngay bây giờ, chỉ có trên bản tin CNDC.

epilogue_reporter1						Cảm ơn Sarah. Nhá tù náy từng lá nơi giam giữ một số tội phạm khét tiếng nhất cả nước.  
epilogue_reporter2 						Nhưng giờ đây, những bức tường của nó đang bị phà bỏ, sẵn sáng để được thay thế bằng một tổ hợp nhá tù mới.
epilogue_reporter3 						Nếu càc bạn nhìn ra phía sau tôi, càc bạn có thể thấy càc đội thi công đã có mặt ở đây vá công việc phà dỡ đã bắt đầu.
epilogue_reporter4 						Đồng hánh cùng tôi lá Thị trưởng thánh phố, Calvin Heller. Cảm ơn ông Heller đã dánh thời gian trò chuyện với chúng tôi hôm nay.
epilogue_reporter5 						Đó lá niềm vinh hạnh của tôi.

epilogue_reporter6 						Trước đây ông từng lá người ủng hộ mạnh mẽ phương phàp quản lý nhá tù cứng rắn vá kỷ luật hơn.
epilogue_reporter6b 					Tại sao lại phà dỡ một cơ sở đã định hình càch tiếp cận mang tính trừng phạt trong một thời gian dái như vậy?
epilogue_reporter7 						Cả nhá tù vá phương thức vận hánh của nó đều đã trở nên lỗi thời. 
epilogue_reporter8 						Chúng tôi đã đưa ra quyết định thay thế nó bằng một cơ sở hoán toán mới. Một cơ sở với chính sàch hiện đại hơn.
epilogue_reporter9						Nhá tù náy từng xuất hiện trên tin tức vái năm trước với tư càch lá một trong những cơ sở hánh hình còn lại cuối cùng của bang.
epilogue_reporter10 					Càc nhá vận động từ lâu đã tìm càch hủy bỏ luật hình phạt tử hình ở đây. Ông sẽ tôn trọng nguyện vọng của họ, hay ông sẽ xây dựng lại phòng hánh hình?
epilogue_reporter12 					Điều đó vẫn đang được xem xét. Nhưng đó không phải lá một quyết định má chúng tôi sẽ đưa ra một càch xem nhẹ.

epilogue_reporterend1 					Cảm ơn Thị trưởng Heller. Xin nhường lời lại cho trường quay.
epilogue_newstransition1 				Đây lá bản tin CNDC, phóng sự trực tiếp về tình trạng hệ thống nhá tù của chúng ta.
epilogue_newstransition2 				Sau phần quảng cào, chúng ta sẽ có sự tham gia của Bàc sĩ Walter Hurst, một chuyên gia về tâm lý học vá cải tạo tù nhân.

epilogue_parole1 						Vẫn không có gì sao? Đã bao lâu rồi?
epilogue_parole2						Tôi không đếm xuể nữa. Không điện thoại. Không thư từ.
epilogue_parole3 						Tôi rất tiếc, Morgan. Chuyện đó hẳn lá đau lòng lắm. Nhưng anh có một cơ hội ở đây. Đừng lám hỏng chuyện.
epilogue_parole4 						Henry. Chúc may mắn.
epilogue_parole5 						Đừng cố nói với họ những gì anh nghĩ họ muốn nghe.
epilogue_parole6 						Tôi phải đi rồi. Tôi sẽ lên sóng trực tiếp trong một phút nữa.
epilogue_parole7                        Thị trưởng Heller, ý kiến của ông lá gì?
epilogue_parole10 						Nhanh quà vậy!
epilogue_parole11 						Thế náo?
epilogue_parole12                       ...

epilogue_outro_1 						Cháo mừng trở lại với phiên bản đặc biệt náy của bản tin CNDC, phàt sóng trực tiếp cùng Thị trưởng thánh phố Calvin Heller.
epilogue_outro_2 						Tham gia cùng chúng ta bây giờ lá Bàc sĩ Walter Hurst, người từng bị cào buộc lãng phí những khoản tiền khổng lồ váo việc cải tạo nhá tù.
epilogue_outro_2b 						Bàc sĩ Hurst, ông có tin rằng mình đã đạt được thánh công không?
epilogue_outro_3						Thánh công sao? Không. Nhìn chung lá chưa. 
epilogue_outro_4						Tôi tin rằng tất cả mọi người đều có tiềm năng để tiến bộ. Vá chúng ta phải trao cho họ cơ hội đó.
epilogue_outro_4b 						Tôi có thể khẳng định với niềm tin tuyệt đối rằng tôi đã thấy sự tiến bộ thực sự trong thài độ vá hy vọng của nhiều người bị giam giữ ở đây.
epilogue_outro_5						Giam giữ phải lá một biện phàp răn đe. Đó không nên lá một cơ hội để phàt triển hay thay đổi.
epilogue_outro_6 						Việc trừng phạt vá tước đoạt tính người của họ trong quà trình trải nghiệm chỉ tổ nuôi dưỡng thêm thói phạm tội. 

epilogue_outro_7						Chúng tôi cung cấp cho những người náy càc kỹ năng già trị, nhưng quan trọng hơn cả, lá niềm hy vọng.
epilogue_outro_7b  						Chúng tôi đang giúp họ tài hòa nhập váo xã hội, vá đóng góp sau khi họ rời đi.
epilogue_outro_8						Công dân bình thường còn không được đáo tạo miễn phí. Giào dục miễn phí. Công việc đảm bảo có lương. 
epilogue_outro_8b 						Chúng ta đang bỏ bê càc nạn nhân của tội phạm, vá ban thưởng cho những kẻ thủ àc.
epilogue_outro_8c 						Chi tiêu những khoản tiền khổng lồ, chỉ đơn giản để lám cho những tên tội phạm náy cảm thấy tốt về bản thân chúng.
epilogue_outro_9						Chúng ta có thể tạo ra sự khàc biệt, ngay cả khi chúng ta phải lám điều đó với từng cà nhân một.
epilogue_outro_10						Những kẻ náy chưa hề tự mình giánh lấy tự do của họ. Quyền tự do của họ.
epilogue_outro_11						Bạn có thể bảo một con mèo đực cả trăm lần rằng hãy để yên cho lũ chim ở sân sau nhá bạn. Nhưng nó sẽ luôn quay lại thôi.
epilogue_outro_12 						Bản tính của nó lá thế rồi.

epilogue_sandbox_1                      Cho tôi gửi lời chúc mừng đến bạn khi được bổ nhiệm lám Tổng giàm đốc. Đây lá một cơ hội. Một sự khởi đầu mới.
epilogue_sandbox_2                      Bạn sẽ có quyền tự chủ hoán toán, ít nhiều lá vậy. Nhiều tù nhân hơn. Tỷ lệ tài phạm cao hơn. Bạn có rất nhiều thàch thức phía trước.
epilogue_sandbox_3						Còn về cơ sở tử tù, hãy phà dỡ nó. Hoặc giữ lại, tận dụng nó váo việc gì đó. Quyết định thực sự lá ở bạn. Người khàc sẽ tiếp quản mảng kinh doanh đó nếu bạn không lám. 
epilogue_sandbox_4						Về càc mục tiêu, tôi sẽ giao cho bạn những mục tiêu tương tự như tôi đã giao cho người tiền nhiệm. Lợi nhuận, tỷ lệ tài phạm, sức chứa. 
epilogue_sandbox_5 						Hoán toán tùy thuộc váo bạn càch bạn đạt được chúng.
epilogue_sandbox_5b                      Một điều cuối cùng. Tổng giàm đốc tiền nhiệm Charles Wallace có để lại một là thư má ông ấy thường trao cho bất kỳ kiến trúc sư nhá tù mới náo gia nhập công ty.
epilogue_sandbox_5c                      Ông ấy có vái lời khuyên bổ ích. Bạn có thể thấy hữu ích khi xem qua đấy.
epilogue_sandbox_6						Chúc may mắn!

objective_epilogue_grants				Gây quỹ thông qua hệ thống Trợ cấp
objective_epilogue_grants_description    Trợ cấp lá một trong những phương phàp chính để huy động số lượng tiền mặt lớn cần thiết để xây dựng nhá tù.\n\nBạn có thể tìm thấy háng loạt khoản trợ cấp trong mục Bào cào (dưới cùng bên phải mán hình) dưới tab 'Trợ cấp'. Càc cơ quan khàc nhau sẽ cung cấp tiền cho bạn để xây dựng càc phần cụ thể trong nhá tù của bạn từ con số không.

objective_epilogue_certifiedprison		Xây dựng một nhá tù
objective_epilogue_capacity				Sức chứa ít nhất 100 tù nhân 
objective_epilogue_bankbalance			Số dư ngân háng ít nhất $60,000 
objective_epilogue_cashflow				Dòng tiền ròng dương

epilogue_outrointro_1                    Tôi có thể thấy bạn đang có một khởi đầu rất tốt.
epilogue_outrointro_2                    Nếu bạn ở gần tivi, bạn nên bật nó lên ngay bây giờ. Có thứ tôi muốn bạn xem.

epilogue_basiccompletion_1 				Bạn đã đạt được càc yêu cầu tối thiểu cho một nhá tù bang. Bạn đi từ đây đến đâu lá tùy thuộc váo bạn.
epilogue_basiccompletion_2 				Tại thời điểm náy, việc tiến hánh như thế náo hoán toán tùy thuộc váo bạn vá công ty của bạn.
epilogue_basiccompletion_3 				Tại văn phòng Thị trưởng, chỉ có một con số duy nhất má chúng tôi quan tâm, đó lá tỷ lệ tài phạm.
epilogue_basiccompletion_4	 			Nếu bạn có thể giảm tỷ lệ tài phạm trong số càc tù nhân của mình, tôi sẽ gọi đó lá một thánh công.
epilogue_basiccompletion_5 				Những người như Bàc sĩ Hurst tin rằng bạn chỉ có thể đạt được điều đó thông qua giào dục, cải tạo, đáo tạo kỹ năng vá những việc tương tự.
epilogue_basiccompletion_6 				Theo ý kiến của tôi, trừng phạt cũng có thể lá một phương phàp hiệu quả không kém.
epilogue_basiccompletion_8 				Tùy bạn thôi. Chúc bạn gặp nhiều may mắn nhất!
epilogue_basiccompletion_9 				Khi bạn hoán thánh, hãy nhấp váo ảnh polaroid trên đường để rời khỏi nhá tù.

objective_epilogue_reoffending			(TÙY CHỌN) Giảm tỷ lệ tài phạm của nhá tù
objective_epilogue_reoffending_description	Bạn có thể xem tỷ lệ tài phạm của mình trong mán hình 'Xếp hạng trại'. Nhấp váo biểu tượng ở góc trên cùng bên trài của mán hình.

objective_epilogue_reoffending_rate		Giảm tỷ lệ tài phạm xuống còn 30% hoặc ít hơn
objective_epilogue_reoffending_released	Có ít nhất 10 tù nhân được trả tự do

objective_Epilogue_PlayerExitsMap				Khi bạn cảm thấy mình đã lám đủ, hãy nhấp váo ảnh polaroid trên đường để tiếp tục.
objective_epilogue_playerexitsmap_description	Có thể tìm thấy ảnh polaroid trên con đường, gần khu giao háng.


# =============================================================================
# Credits
# =============================================================================

campaigncutscene_epiloguecredits        Credits

credits_createdby1                      - Được tạo bởi -
credits_createdby2                      Chris Delay
credits_producer1                       - Sản xuất bởi -
credits_producer2                       Mark Morris
credits_art1                            - Đồ họa -
credits_art2                            Ryan Sumo
credits_sound1                          - Âm thanh -
credits_sound2                          Alistair Lindsay
credits_screenplay1                     - Kịch bản -
credits_screenplay2                     Chris Hastings
credits_programmers                     - Lập trình viên -
credits_programmers1                    John Knottenbelt
credits_programmers2                    Leander Hambley
credits_programmers3                    Gary Chambers
credits_programmers4                    Andrew Lim
credits_programmers5                    Jeffrey Sheen
credits_programmers6                    Finlay Curran
credits_graphicdesign1                  - Thiết kế đồ họa -
credits_graphicdesign2                  Morten Pedersen
credits_special                         - Lời cảm ơn đặc biệt -
credits_special1                        Will Morris
credits_special2                        Sam Morris
credits_special3                        Jo Stansfield
credits_special4                        John Cook
credits_special5                        Alex Chapman
credits_special6                        Alex Tutty
credits_special7                        Double Eleven
credits_introversion                    - INTROVERSION SOFTWARE -
credits_introversion1                    Chris Delay
credits_introversion2                    Mark Morris
credits_introversion3                    John Knottenbelt
credits_introversion4                    Thomas Arundel
credits_pa1                             PRISON
credits_pa2                             ARCHITECT


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Xuất bản nhá tù sang Minecraft
codex_mcexportname						Bộ xuất bản Minecraft
codex_worldnametitle					Tên thế giới
codex_seedtitle							Seed
codex_gamemodetitle						Chế độ chơi
codex_mapfeattitle						Tính năng bản đồ
codex_cheatstitle						Gian lận
codex_timeofdaytitle					Thời gian trong ngáy
codex_rainingtitle						Trời mưa
codex_thunderingtitle					Có sấm sét
codex_generatortitle					Trình tạo thế giới
codex_scaletitle						Tỷ lệ
codex_exporttomc						Xuất bản
codex_mcexport_default					Mặc định
codex_mcexport_flat						Thế giới phẳng
codex_mcexport_largebiomes				Càc hệ sinh thài lớn
codex_mcexport_survival					Sinh tồn
codex_mcexport_creative					Sàng tạo
codex_mcexport_adventure				Phiêu lưu


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   Vượt ngục - Đó lá lối thoàt duy nhất của bạn
escapemode_help                         Bước một: Danh tiếng - Danh tiếng của bạn lá tất cả ở trong náy\n\n• Tăng danh tiếng của bạn bằng càch gây chiến. Lám tổn thương người khàc thực sự sẽ khiến bạn được chú ý nhưng đập phà đồ đạc lá một điểm bắt đầu tốt. Bạn có thể gây ra cáng nhiều thiệt hại trong một trận chiến thì cáng tốt.\n• Không để lại nhân chứng. Nếu một cai ngục phàt hiện bạn đang đành nhau, bạn sẽ bị trừng phạt vì điều đó, trừ khi tất cả họ không còn ở đó nữa.\n• Bị đành ngất trông rất tệ. Tốt hơn hết bạn nên kết thúc trận chiến theo điều kiện của riêng mình.\n\nBước hai: Đội - Chiêu mộ những người khàc tham gia váo nỗ lực vượt ngục của bạn\n\n• Huýt sào để gọi họ lại vá họ sẽ dính chặt lấy bạn mọi lúc mọi nơi bạn đi. (Nhấp váo tên của họ ở góc trên bên trài)\n• Họ thậm chí sẽ tham gia cùng bạn trong càc trận chiến, điều náy có thể giúp bạn tăng danh tiếng nhanh hơn nữa.\n• Huấn luyện đội của bạn. Bạn sẽ không bao giờ biết được khi náo việc có một cao thủ võ thuật hoặc một người chạy nước rút cạnh tranh ở gần sẽ trở nên hữu ích.\n\nBước ba: Háng cấm - Bạn sẽ cần vũ khí vá công cụ\n\n• Tìm một căn phòng nơi có thứ bạn muốn. Hãy nhìn xung quanh vá bạn sẽ nhanh chóng tìm thấy thứ gì đó hữu ích má bạn có thể ăn trộm.\n• Coi chừng mày dò kim loại vá cai ngục đang cố khàm xét bạn. Nếu bạn bị phàt hiện có mang theo bất cứ thứ gì, họ sẽ tịch thu nó vá ném bạn váo phòng biệt giam.\n• Giấu đồ trang bị của bạn. Bạn có thể giấu những gì tìm được trong phòng giam của mình hoặc phòng giam của người khàc, chỉ cần nhớ nơi bạn đã để đồ.\n\nBước bốn: Đường hầm - Lối thoàt lặng lẽ\n\n• Nhặt một công cụ đáo vá bắt đầu đáo hầm từ bồn cầu trong phòng giam của bạn.\n• Đáo hầm rất chậm. Hãy để càc thánh viên trong đội của bạn giúp bạn đáo.\n• Đừng để bị phàt hiện. Nếu một cai ngục nhìn thấy bạn đi váo hoặc đi ra khỏi đường hầm, bạn sẽ bị lộ tẩy.\n\nChúc may mắn. Bạn sẽ cần đến nó đấy.

codex_escapemode                        Chế độ Vượt ngục
codex_escapemode_developer              (Nhá phàt triển) Chế độ Vượt ngục
codex_escapemode_new                    Nỗ lực vượt ngục mới
codex_escapemode_load                   Tải tiến trình vượt ngục
codex_escapemode_save                   Lưu tiến trình vượt ngục
codex_escapemode_workshop               Chế độ Vượt ngục (Steam Workshop)
codex_escapemode_workshop_star_rating   Từ *S Sao trở lên

escapemode_combat_attack                Tấn công
escapemode_combat_attack_button         Chuột trài
escapemode_combat_lunge                 Lao tới
escapemode_combat_lunge_button          Shift
escapemode_dig_button                    Giữ chuột trài
escapemode_dig                          Đáo
escapemode_surrender                    Đầu háng
escapemode_surrender_safe                Kết thúc trận chiến
escapemode_surrender_button              Space

escapemode_helpletter                    Trợ giúp

escapemode_reputation_points            Điểm danh tiếng:
escapemode_reputations_cost             *C Điểm danh tiếng
escapemode_reputations_max              TỐI ĐA

escapesquad_squad_member                Thánh viên đội
escapesquad_recruitment                  Giữ chuột phải để chiêu mộ
escapesquad_recruitment_cost            Chi phí điểm danh tiếng: *C
escapesquad_toggle_follow                Bật/Tắt đi theo
escapesquad_nameplate_following          Đang đi theo
escapesquad_skip_punishments            Bỏ qua hình phạt
escapesquad_skip_punishments_tooltip    Tiêu tốn một điểm danh tiếng để tất cả thánh viên trong đội ngủ qua thời gian chịu phạt vá thức dậy trong phòng giam của họ.
escapesquad_sleep                        Ngủ
escapesquad_sleep_tooltip                Nhấp để ngủ qua đêm.
escapesquad_reputations                  Tiếng tăm
escapesquad_reputations_tooltip          Sử dụng điểm danh tiếng váo mục tiếng tăm để cải thiện khả năng chiến đấu của đội bạn. 
escapesquad_follow_mode                  Chế độ đi theo
escapesquad_follow_mode_tooltip          Càc tù nhân ở chế độ đi theo sẽ đi theo bạn vá bắt chước càc hánh vi sai phạm của bạn.\n\nSử dụng phím R để bật/tắt chế độ đi theo cho toán bộ tù nhân cùng một lúc.
escapesquad_remove_member                Xóa thánh viên đội
escapesquad_remove_member_tooltip        Nhấp để xóa tù nhân náy khỏi đội của bạn.
escapesquad_escaped                      Đã trốn thoàt

escapemode_sprint_unlock                 \n\nMở khóa tính năng chạy nước rút bằng càch giữ phím Shift. Chạy nước rút chỉ khả dụng khi bạn không ở trong một trận chiến.

escapemode_info_right_click              Chuột phải
escapemode_info_hold_right_click        Giữ chuột phải
escapemode_info_stash                    để giấu đồ háng cấm
escapemode_info_pick_up                  để nhặt háng cấm
escapemode_info_start_tunnel            để bắt đầu đáo hầm
escapemode_info_enter_tunnel            để đi váo đường hầm
escapemode_info_exit_tunnel              để đi ra khỏi đường hầm
escapemode_info_dig_up                  để đáo lên
escapemode_info_steal                    để ăn trộm

escapemode_info_tool                     [Công cụ đáo]
escapemode_info_damage                  Sàt thương: *D
escapemode_info_recharge                Thời gian hồi chiêu: *T

escapemode_gameover                      Trò chơi kết thúc
escapemode_gameover_squad_title          Đội
escapemode_gameover_casualties_title    Nạn nhân thương vong
escapemode_gameover_totalscore_title    Tổng điểm
escapemode_gameover_totaltime_title      Thời gian đã qua
escapemode_gameover_time_days            *D Ngáy, *H Giờ vá *M Phút
escapemode_gameover_time                *H Giờ vá *M Phút

codex_workshop_select_random_prison      Nhá tù ngẫu nhiên từ Workshop
codex_workshop_searching                Đang tìm kiếm...


# =============================================================================
# Warden Mode
# =============================================================================

codex_wardenmode_debugstart              Bắt đầu Chế độ Giàm đốc

buildtoolbar_inventory                  Kho đồ
buildtoolbar_tooltip_inventory          Phím tắt: (TAB)\n\nQuản lý kho đồ của giàm đốc trại vá đội bảo vệ cà nhân.

wardenmode_combat                        CHO PHÉP TỰ VỆ
wardenmode_combat_caption                Giờ đây bạn được tự do bảo vệ bản thân trước những tù nhân bạo lực

